FAIL:  calculateDin(0, 4, 4, 1, 1)  Expected 1.75, but got 0.75.
FAIL:  calculateDin(0, 4, 4, 1, 2)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(0, 4, 4, 1, 3)  Expected 1.5, but got null.
FAIL:  calculateDin(0, 4, 4, 1, 4)  Expected 1.25, but got null.
FAIL:  calculateDin(0, 4, 4, 2, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(0, 4, 4, 2, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(0, 4, 4, 2, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(0, 4, 4, 2, 3)  Expected 1, but got null.
FAIL:  calculateDin(0, 5, 2, 1, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(0, 5, 2, 1, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(0, 5, 3, 1, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(0, 5, 3, 1, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(0, 5, 3, 1, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(0, 5, 3, 1, 3)  Expected 1, but got null.
FAIL:  calculateDin(0, 5, 3, 2, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(0, 5, 3, 2, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(0, 5, 4, 1, 0)  Expected 2, but got 0.75.
FAIL:  calculateDin(0, 5, 4, 1, 1)  Expected 1.75, but got 0.75.
FAIL:  calculateDin(0, 5, 4, 1, 2)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(0, 5, 4, 1, 3)  Expected 1.5, but got null.
FAIL:  calculateDin(0, 5, 4, 1, 4)  Expected 1.25, but got null.
FAIL:  calculateDin(0, 5, 4, 2, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(0, 5, 4, 2, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(0, 5, 4, 2, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(0, 5, 4, 2, 3)  Expected 1, but got null.
